,Comment,Likes,Time,UserLink,user
58,"""There's no point having a mind if you cannot change it""

James O'brien LBC radio","
    74
  ",1 month ago,/channel/UCOnKXn9SRcThyS0qKy5qrDg,"
              d Lon
            "
59,So basically meditation and internal positive talk is magic,"
    69
  ",3 months ago,/channel/UC-V5xJyDZdeuXioBXkyw3UA,"
              Br Lb
            "
60,"This is what scares me😂, you keep changing over time forgetting skills you spend a lot of time learning","
    5
  ",2 weeks ago,/channel/UCbKvndIQ_YTOq5N30EnVqcg,"
              Elvis Edison
            "
61,"""Go out and build the brain you want"" 🤩🤩🤩","
    46
  ",3 months ago,/channel/UCzgyNR8HpvtV4suMaI-RXjA,"
              Yoanna Salazar
            "
62,"So main point:
1. Practice - hard work works
2. Everyone learns differently 

That is why we need personalised education!","
    2.7K
  ",5 years ago,/channel/UCYw05gb3c3F54TitmSNnfMw,"
              Milind Joshi
            "
63,"I agree that everyone learns in a different way. For instance, I consider myself a good reader, I can write, but my brain does not allow me to understand the content of texts (even written by myself), I have almost no short term memory or processing memory. This makes it very hard to learn anything via normal education. But somehow by creating all kinds of tools for myself, I managed to get a degree on university level.
I could imagine that people who had a stroke could have the same problem. In that case 'work hard and then you learn something because the chemical changes in your brain' doesn't really apply. The focus should be on giving people  tools to be able to process the information properly before they start learning anything.","
    0
  ",12 hours ago,/channel/UCWofBiiSGYy7kPDUb1deevQ,"
              Pawz
            "
64,"Look, how much confidence she have
In fromt of speaking 1000s of people","
    59
  ",5 months ago,/channel/UC_eveoWQzkV9ZimikVNsYhQ,"
              Ishwinder Singh291
            "
65,Conclusion: -Every brain is unique and requires its own personalized learning pattern. That insight unfortunately did not change my brain a lot.,"
    111
  ",7 months ago,/channel/UCLUzco5o31aYRk_lIbq0wzw,"
              Torbjörn Hornliden
            "
66,Lol when you think of quieting the mind and stop thinking you still thinking of not thinking you just can’t win😂,"
    0
  ",3 hours ago,/channel/UCOOLfD7gtSoeOtjdku78Eyg,"
              Hlogi Lehlogonolo
            "
67,Learning about the brain is just a brain trying to understand itself.,"
    2K
  ",1 year ago,/channel/UC5BbxaPL2hVXgZbffTg1tAA,"
              Arthur Adutt
            "
68,"The one thing that really helped me to fall in love with myself and my life was Forwago. I can not believe how much happier person I am now than I was before. Please love yourself, it is one of the easiest ways to dramatically improve your life.","
    2
  ",1 month ago,/channel/UChn0S2CnqB0Wu0hs7IGIQ5A,"
              FF.S Fima F96
            "
69,“Every champion was once a contender that didn’t give up.” – Gabby Douglas,"
    22
  ",1 month ago,/channel/UCY-Zhg50hu3KTko6A4rds5g,"
              2 Hours of Meditation
            "
70,Everything you see and hear changes you.  That's why I don't watch the news.,"
    38
  ",5 months ago,/channel/UCwM54DE14CKrGkYzTos1hAw,"
              Blondie 267
            "
71,"I can sum up her talk in one sentence: ""practice makes perfect"". Simple.","
    34
  ",6 months ago,/channel/UC_of_sqFmklXOV2r6q7-oBA,"
              Jay Social
            "
72,"To save you 15 minutes of your time, practicing a skill will help you learn it. You're welcome.","
    3.5K
  ",4 years ago,/channel/UCB5Jlo3gjW1l4G8iBI2zFrQ,"
              Keith Magee
            "
73,This was a good talk. But it’s sad how often neuroscientists overlook meditation and psilocybin.,"
    48
  ",5 months ago,/channel/UC6dSZGDFPZ1GxU2R7z5MNCw,"
              Curtis K
            "
74,"The brain is so complex it doesn't understand itself, think bout that.","
    944
  ",7 months ago,/channel/UCIaSBWIz3_ciu1ra-ugJoog,"
              Shir Riggings
            "
75,My brain during the video: that lady could do a voice over for an Apple product video...,"
    44
  ",7 months ago,/channel/UC49pudcwkE2nX9_CNOkGJLw,"
              Shadil GH
            "
76,"My brain will not be same?

My brain literally the next day : Who am I again?","
    14
  ",2 months ago,/channel/UCq6AcL9sCiN-cVYwbB9Bunw,"
              Valiant Warrior
            "
77,"""Everything you do, everything you encounter and everything you experience is changing your brain."" I love these lines.","
    1.5K
  ",1 year ago,/channel/UCi3gF91c_YyrZxDjc9b7A_A,"
              Riad Edu.
            "
78,"""Build the brain you want."" Too cheesy after just stating that you can't learn every type of skill as effectively. But neuroplasticity is remarkable though. You should check the pictures of the brain after someone lost a finger. You can see the brain mass for 5 fingers being redivided by 4, so growing bigger per finger.","
    28
  ",8 months ago,/channel/UCGzqt38_jubAjDkHn295YTA,"
              Snamco SAX Music
            "
79,"After watching the Lara's boots, your brain will not be the same.","
    10
  ",4 months ago,/channel/UCErLJR70ZsY7pHcjoUkcmeg,"
              romathinio
            "
80,"it's funny because the brain literally changes, well played","
    0
  ",2 days ago,/channel/UCOPI_e338nfjRY-UzHL0PSg,"
              Rafael Gomes
            "
81,Thank you so much for teaching:),"
    4
  ",2 months ago,/channel/UC99MnGmwbH2T6HXjUmHx6oA,"
              Punnarooth Srimongkolsilp
            "
82,"""the brain is the most important organ in the human body""

- the brain.","
    3.9K
  ",4 months ago,/channel/UCHfWQxe5ptg7JZoUhO8z2Rw,"
              SAFWANE
            "
83,If you are listening to this during quarantine you are officially a legend,"
    3.9K
  ",6 months ago,/channel/UC4GQ8I7kK5VDw1vJzKioYTg,"
              Key Epic
            "
84,*science: everybody learns differently.  *education system:  imma ignore that.,"
    2.3K
  ",5 months ago,/channel/UCG6-prp7nc-ms6bqBltz81w,"
              Felix A.
            "
85,My brain is just like the Burmoda triangle where information goes but never found again😂,"
    1.4K
  ",7 months ago,/channel/UCYo_j6-gcn4z6RFZeI_ImFw,"
              Amjad Khan Yousafzai
            "
86,TED talks: the only videos where clickbait titles don't disappoint,"
    2K
  ",7 months ago,/channel/UC184FoN3pcyAiENclLgaHVA,"
              John Ponce
            "
87,After watching literally anything your brain is not the same ...,"
    8.5K
  ",4 years ago,/channel/UCGg7sieCe-yCcl67QNlVsrQ,"
              Leo Koutakis
            "
88,"Lemme Summaries this:- 
""Everything you do, everything you encounter and everything you experience is changing your brain."" 
Mic Drop!🎤","
    401
  ",4 months ago,/channel/UCsJSqu2_a2lwYg3PZmkO8Cw,"
              Bigyan Patel
            "
89,"To whoever reading this, I pray for your health, wealth, happiness, strength and peace of mind. Have a wonderful day:)","
    1.5K
  ",6 months ago,/channel/UCBRPtKG-2hNmrYCid6OBaww,"
              Krithika Ramakrishnan
            "
90,Amazing this truely shifts my perspective on learning,"
    22
  ",4 months ago,/channel/UCrfPIyyGHufzvJi5Abl-2aQ,"
              True CaliDad
            "
91,"Excellent talk. I'll listen to her 5 more times and then I'll be changed. Of all the things I've lost, it's my brain I miss the most.","
    19
  ",5 months ago,/channel/UCBcsaLVox_kPGer7X8HrzWg,"
              Dennis Francisco
            "
92,The brain is the most important organ in the body...according to the brain.,"
    15K
  ",4 years ago,/channel/UC_ASDPz91mPCfk1gvGqN4ZQ,"
              Open Air Adventure
            "
93,"15 minutes in 1 sentence: ur brain can change, end of story","
    471
  ",7 months ago,/channel/UCBnJpspc8WXUx6aJ8doI2Rg,"
              Filmdude
            "
94,"“When you leave today, go out and build the brain you want”

Manifest and PRACTICE the positive things that will give a healthy long term life for your brain. This really changed my perspective moving forward. I’m so glad I came across this!","
    136
  ",2 months ago,/channel/UCHWIE2NZRyaSNebbw6IFRFA,"
              Alex S
            "
95,"After watching this, everytime I study I'll say ""I'm changing the structure of my brain""","
    115
  ",4 months ago,/channel/UCMpBGOz2CjgZnl_Y8VWREZA,"
              Ar Az
            "
96,"9 minutes in and I'm still clueless, my brain just can't","
    117
  ",5 months ago,/channel/UCv24q7CUzBghl_z2ZE85axg,"
              Lebitso Mokhina
            "
97,When will ted himself show up to the talk?,"
    2.8K
  ",8 months ago,/channel/UCuFVb0w0jD4cDS4vn0Le39w,"
              Ravindra Banchhod
            "
98,"""There's no point having a mind if you cannot change it""

James O'brien LBC radio","
    74
  ",1 month ago,/channel/UCOnKXn9SRcThyS0qKy5qrDg,"
              d Lon
            "
99,So basically meditation and internal positive talk is magic,"
    69
  ",3 months ago,/channel/UC-V5xJyDZdeuXioBXkyw3UA,"
              Br Lb
            "
100,"This is what scares me😂, you keep changing over time forgetting skills you spend a lot of time learning","
    5
  ",2 weeks ago,/channel/UCbKvndIQ_YTOq5N30EnVqcg,"
              Elvis Edison
            "
101,"""Go out and build the brain you want"" 🤩🤩🤩","
    46
  ",3 months ago,/channel/UCzgyNR8HpvtV4suMaI-RXjA,"
              Yoanna Salazar
            "
102,"So main point:
1. Practice - hard work works
2. Everyone learns differently 

That is why we need personalised education!","
    2.7K
  ",5 years ago,/channel/UCYw05gb3c3F54TitmSNnfMw,"
              Milind Joshi
            "
103,"I agree that everyone learns in a different way. For instance, I consider myself a good reader, I can write, but my brain does not allow me to understand the content of texts (even written by myself), I have almost no short term memory or processing memory. This makes it very hard to learn anything via normal education. But somehow by creating all kinds of tools for myself, I managed to get a degree on university level.
I could imagine that people who had a stroke could have the same problem. In that case 'work hard and then you learn something because the chemical changes in your brain' doesn't really apply. The focus should be on giving people  tools to be able to process the information properly before they start learning anything.","
    0
  ",12 hours ago,/channel/UCWofBiiSGYy7kPDUb1deevQ,"
              Pawz
            "
104,"Look, how much confidence she have
In fromt of speaking 1000s of people","
    59
  ",5 months ago,/channel/UC_eveoWQzkV9ZimikVNsYhQ,"
              Ishwinder Singh291
            "
105,Conclusion: -Every brain is unique and requires its own personalized learning pattern. That insight unfortunately did not change my brain a lot.,"
    111
  ",7 months ago,/channel/UCLUzco5o31aYRk_lIbq0wzw,"
              Torbjörn Hornliden
            "
106,Lol when you think of quieting the mind and stop thinking you still thinking of not thinking you just can’t win😂,"
    0
  ",3 hours ago,/channel/UCOOLfD7gtSoeOtjdku78Eyg,"
              Hlogi Lehlogonolo
            "
107,Learning about the brain is just a brain trying to understand itself.,"
    2K
  ",1 year ago,/channel/UC5BbxaPL2hVXgZbffTg1tAA,"
              Arthur Adutt
            "
108,"The one thing that really helped me to fall in love with myself and my life was Forwago. I can not believe how much happier person I am now than I was before. Please love yourself, it is one of the easiest ways to dramatically improve your life.","
    2
  ",1 month ago,/channel/UChn0S2CnqB0Wu0hs7IGIQ5A,"
              FF.S Fima F96
            "
109,“Every champion was once a contender that didn’t give up.” – Gabby Douglas,"
    22
  ",1 month ago,/channel/UCY-Zhg50hu3KTko6A4rds5g,"
              2 Hours of Meditation
            "
110,Everything you see and hear changes you.  That's why I don't watch the news.,"
    38
  ",5 months ago,/channel/UCwM54DE14CKrGkYzTos1hAw,"
              Blondie 267
            "
111,"I can sum up her talk in one sentence: ""practice makes perfect"". Simple.","
    34
  ",6 months ago,/channel/UC_of_sqFmklXOV2r6q7-oBA,"
              Jay Social
            "
112,"To save you 15 minutes of your time, practicing a skill will help you learn it. You're welcome.","
    3.5K
  ",4 years ago,/channel/UCB5Jlo3gjW1l4G8iBI2zFrQ,"
              Keith Magee
            "
113,This was a good talk. But it’s sad how often neuroscientists overlook meditation and psilocybin.,"
    48
  ",5 months ago,/channel/UC6dSZGDFPZ1GxU2R7z5MNCw,"
              Curtis K
            "
114,"The brain is so complex it doesn't understand itself, think bout that.","
    944
  ",7 months ago,/channel/UCIaSBWIz3_ciu1ra-ugJoog,"
              Shir Riggings
            "
115,My brain during the video: that lady could do a voice over for an Apple product video...,"
    44
  ",7 months ago,/channel/UC49pudcwkE2nX9_CNOkGJLw,"
              Shadil GH
            "
116,"My brain will not be same?

My brain literally the next day : Who am I again?","
    14
  ",2 months ago,/channel/UCq6AcL9sCiN-cVYwbB9Bunw,"
              Valiant Warrior
            "
117,"""Everything you do, everything you encounter and everything you experience is changing your brain."" I love these lines.","
    1.5K
  ",1 year ago,/channel/UCi3gF91c_YyrZxDjc9b7A_A,"
              Riad Edu.
            "
118,"""Build the brain you want."" Too cheesy after just stating that you can't learn every type of skill as effectively. But neuroplasticity is remarkable though. You should check the pictures of the brain after someone lost a finger. You can see the brain mass for 5 fingers being redivided by 4, so growing bigger per finger.","
    28
  ",8 months ago,/channel/UCGzqt38_jubAjDkHn295YTA,"
              Snamco SAX Music
            "
119,"After watching the Lara's boots, your brain will not be the same.","
    10
  ",4 months ago,/channel/UCErLJR70ZsY7pHcjoUkcmeg,"
              romathinio
            "
120,"it's funny because the brain literally changes, well played","
    0
  ",2 days ago,/channel/UCOPI_e338nfjRY-UzHL0PSg,"
              Rafael Gomes
            "
121,Thank you so much for teaching:),"
    4
  ",2 months ago,/channel/UC99MnGmwbH2T6HXjUmHx6oA,"
              Punnarooth Srimongkolsilp
            "
122,I starded watching Tedx's videos to improve my linstening but I've been learning a lot of precious informations so far! 😍 Thanks!,"
    2.1K
  ",1 year ago,/channel/UChBgp18QKXeTI85dW829RYw,"
              Luiz Gustavo
            "
123,Brain is an amazing memory connected with neurons,"
    0
  ",2 days ago,/channel/UCJncB2mnAF3_kFthsHwCNJw,"
              Fathima Rafaha
            "
124,I want to be like her when I grow up,"
    4
  ",4 months ago,/channel/UC6-08JAgRNukaWek_wg81bw,"
              Lil Moni
            "
125,When she said go out and build the brain you want  I felt that  ... felt redesign accomplish,"
    23
  ",4 months ago,/channel/UCBwDWcLzcmncXjjid_PC8BQ,"
              Neeloy Chitan
            "
126,My prof discussed this during our Ergo class. It is all about Cognitive skills and how brain process the informations. This video helps me a lot.,"
    8
  ",3 months ago,/channel/UCzJvjWA64JvGuBBj5PvS7OQ,"
              shayne echaluce
            "
127,"Spoiler alert: To learn, practice. Everyone learns differently.","
    1K
  ",5 years ago,/channel/UCIG9GPNvPmfBGlvo5a8ASGg,"
              Art Vaughan
            "
128,We have the most advanced and most developed  brain on earth😍😍😍😍🌎🌍,"
    4
  ",3 months ago,/channel/UCQ5quWfyceY0VH6k6J1AU5A,"
              Ishu singh
            "
129,"the most complex organ in our body- Brain 
""Practice makes everything happen""","
    1
  ",2 months ago,/channel/UCy8kqOXG6Y_r8iky3tpbj5A,"
              Krushna Kale
            "
130,"Wow my brain did change, it feels smoother, more elastic and incredible.","
    14
  ",7 months ago,/channel/UCrAFdxofFLcbQda-K9eWIbA,"
              Marina Stegantseva
            "
131,"Indian education system suicides after knowing ""everyone brain is different, and different people require different pattern of education for effective learning ""","
    50
  ",7 months ago,/channel/UCP1xg3mEHG8qagQ8WMLqzkQ,"
              Ayush Agrawal
            "
132,"Brief:
Three levels of changes in neuroplasticity for learning:
* chemical changes for short-term memory,
* structure changes for long-term memory,
* functional changes for shifting brain areas.

The most interesting ideas are that: 
* our brain will be shaped structurally and functionally by our behavior!
* difficulty during practicing lead to more changes in the brain (more efficient?)

Everyone is his own designer for his brain and be aware of our daily habit!

Hope you learn new skills more effictively.","
    2K
  ",2 years ago,/channel/UCjoOfuSSs0NTVKlbzvs1cTg,"
              Ming
            "
133,I ignored the 14 minutes of her speech waiting for her to use the tv remote in her hand.,"
    3
  ",3 weeks ago,/channel/UCtjkthmJkzftqEJiFZheJUQ,"
              2o7
            "
134,This is the coolest thing i've ever watched.,"
    8
  ",5 months ago,/channel/UCX41oETYarepO4VJ1sF0Iyg,"
              Aaron Castro
            "
135,Their research is limited to the physical form of human body,"
    5
  ",1 week ago,/channel/UCUmlf3pJMQePowLJaUnTRAA,"
              Sum Sam
            "
136,"14:25 (stroke; maybe the brain should have been protected from the shock of a hazard   leading up to the stroke to prevent long-term damage ) , they give you pills AFTER a stroke to help the brain recover from shock or soften up? by then it's too late...","
    0
  ",2 days ago,/channel/UC70uz1DnoYtDE9JchvZjdZg,"
              Chike Henderson
            "
137,"“If you tell a big enough lie and tell it frequently enough, it will be believed.”","
    780
  ",4 years ago,/channel/UCxM8eufNiW9TZ_clrdLix5Q,"
              Voice of Reason
            "
138,Incredibly the most informative 14:24 minutes of my life,"
    0
  ",1 week ago (edited),/channel/UCUHOt_T1OJ6UhIZxMx-zWBQ,"
              Asis Grg
            "
139,"13:14
Study how and what you learn best. 😁
Repeat those behaviors that are healthy for your brain, and break those behaviors and habits that are not.😉","
    1
  ",3 months ago,/channel/UCvpHNoCfZGaeYr47fFVeO3A,"
              Armeah Francisco
            "
140,The most significant lecture I have ever received,"
    3
  ",2 months ago,/channel/UCVERgJHwUY__R_GbqB9Au3A,"
              Eliran Neeman
            "
141,This is the best ted talk because she is a professor and might lecturing on this topic probably on daily basis for hours and hours. So its just a piece of cake for her to speak on the same topic for 20 minutes only,"
    1
  ",4 days ago,/channel/UCQUXvaFAXuevYYicD7982jw,"
              Wahidullah Abaseen
            "
142,"""the brain is the most important organ in the human body""

- the brain.","
    3.9K
  ",4 months ago,/channel/UCHfWQxe5ptg7JZoUhO8z2Rw,"
              SAFWANE
            "
143,If you are listening to this during quarantine you are officially a legend,"
    3.9K
  ",6 months ago,/channel/UC4GQ8I7kK5VDw1vJzKioYTg,"
              Key Epic
            "
144,*science: everybody learns differently.  *education system:  imma ignore that.,"
    2.3K
  ",5 months ago,/channel/UCG6-prp7nc-ms6bqBltz81w,"
              Felix A.
            "
145,My brain is just like the Burmoda triangle where information goes but never found again😂,"
    1.4K
  ",7 months ago,/channel/UCYo_j6-gcn4z6RFZeI_ImFw,"
              Amjad Khan Yousafzai
            "
146,TED talks: the only videos where clickbait titles don't disappoint,"
    2K
  ",7 months ago,/channel/UC184FoN3pcyAiENclLgaHVA,"
              John Ponce
            "
